"task","metric","parameter","correlation","p_value","r_squared","n_obs","sig"
"OH","Occurrence","movement_area_left_hand_m_2",-0.0918329527783066,0.700192400593198,0.00843329121598269,20,""
"VGR","Occurrence","RH_movement_time_s",0.0910802236571729,0.702542051328492,0.00829560714144064,20,""
"APM","Occurrence","RH_variability_x_m",0.0903274945360393,0.704894302485982,0.0081590562691582,20,""
"OH","Dwell_Time","movement_area_left_hand_m_2",-0.087218045112782,0.714342078665137,0.00760698739329527,20,""
"APM","Dwell_Time","LH_contraction_expansion_ratio_x",0.087218045112782,0.714342078665138,0.00760698739329527,20,""
"OH","Occurrence","miss_bias",0.0858433978317477,0.718959779634491,0.00736908895129971,20,""
"VGR","Occurrence","LH_movement_time_s",-0.0850583906881036,0.721431268549203,0.00723492982645008,20,""
"OH","transition_probability","hits_with_right",0.0854249312231527,0.728053393543332,0.00729741887448036,19,""
"VGR","transition_probability","RH_posture_speed_m_s",-0.0820784063344336,0.73083738358051,0.00673686478640039,20,""
"BOB","Occurrence","x1_bar_length_variability",-0.082047474203569,0.730935215549027,0.00673178802318532,20,""
"BOB","Dwell_Time","x1_reaction_time_abs_diff_s",0.0856553147574819,0.735675587394805,0.0073368329462033,18,""
"BOB","Occurrence","x1_targets_completed",0.0794100689624837,0.739291353701239,0.00630595905262641,20,""
"VGR","Dwell_Time","RH_movement_time_s",0.0781954887218045,0.743101807768873,0.00611453445644186,20,""
"APM","transition_probability","RH_contraction_expansion_ratio_y",0.077560328921529,0.745168809340831,0.00601560462241577,20,""
"OH","transition_probability","hand_selection_overlap",-0.0760543031172275,0.749964179749591,0.00578425702264712,20,""
"BOB","transition_probability","x3_drops",0.0736721043339385,0.757567393834401,0.00542757895699072,20,""
"VGR","transition_probability","LH_path_length_ratio",-0.0722892386064736,0.761990960133039,0.00522573401830368,20,""
"BOB","transition_probability","x1_left_hand_speed_maxima",0.0715631341971701,0.764316510043712,0.00512128217612217,20,""
"APM","transition_probability","RH_shift_x_m",0.0715362257043229,0.764402729396884,0.00511743158801982,20,""
"BOB","Occurrence","x2_targets_completed",-0.0691248723657959,0.772139837536217,0.00477824797958757,20,""
"APM","transition_probability","RH_contraction_expansion_ratio_x",0.067771161193569,0.776492520034833,0.00459293028952472,20,""
"BOB","Dwell_Time","x3_bar_length_variability",0.0676691729323308,0.777083013809517,0.00457911696534569,20,""
"APM","Dwell_Time","RH_shift_y_m",-0.0631578947368421,0.79177400359252,0.00398891966759003,20,""
"BOB","Occurrence","x2_left_hand_speed_maxima",0.0625706791528228,0.793272671028125,0.0039150898896455,20,""
"VGR","Dwell_Time","LH_reaction_time_s",-0.0616541353383459,0.796686746072544,0.00380123240431907,20,""
"OH","Dwell_Time","hand_speed_right_m_s",0.0616541353383459,0.796686746072544,0.00380123240431907,20,""
"BOB","transition_probability","x1_right_hand_speed_maxima",0.0610859728506787,0.798079741255033,0.00373149607911386,20,""
"APM","Dwell_Time","LH_shift_y_m",-0.0601503759398496,0.80160706879076,0.00361806772570524,20,""
"BOB","Occurrence","x3_mean_bar_angle_rad",0.0572074132061582,0.810670099813448,0.00327268812574012,20,""
"OH","transition_probability","hand_bias_of_hits",-0.054969941857006,0.817953870888102,0.00302169450776262,20,""
"APM","transition_probability","RH_variability_x_m",-0.0534639160527045,0.822864662397143,0.00285839031969063,20,""
"OH","Occurrence","hand_speed_left_m_s",0.0534437676004899,0.822930405121105,0.00285623629533517,20,""
"APM","Occurrence","LH_contraction_expansion_ratio_x",0.0519383093582226,0.827845774860562,0.00269758797899043,20,""
"APM","Occurrence","RH_variability_y_m",0.0519383093582226,0.827845774860562,0.00269758797899043,20,""
"APM","Dwell_Time","LH_variability_y_m",0.0511278195488722,0.831278236428793,0.00261405393182204,20,""
"APM","Occurrence","LH_shift_y_m",0.0496801219948216,0.835230344175386,0.00246811452142036,20,""
"VGR","Occurrence","RH_initial_speed_ratio",0.0397455479861774,0.867867773354879,0.00157970858472153,20,""
"OH","Occurrence","total_hits",-0.0391713775430913,0.869760877873329,0.0015343968186234,20,""
"BOB","Dwell_Time","x2_mean_movement_time_s",-0.0390977443609023,0.871187187529794,0.00152863361411046,20,""
"BOB","Dwell_Time","x3_targets_completed",0.0347040853205014,0.884512595497872,0.00120437353793264,20,""
"APM","Occurrence","RH_abs_error_x_m",0.0331200813298811,0.889752280546325,0.00109693978729794,20,""
"BOB","transition_probability","x3_drops_targets",0.0326382504205557,0.891346999588698,0.00106525539051491,20,""
"VGR","Occurrence","LH_false_starts",-0.030711756793129,0.900674041761024,0.000943212005320305,19,""
"VGR","Dwell_Time","LH_initial_direction_angle_rad",0.0300751879699248,0.901327975880114,0.00090451693142631,20,""
"BOB","Dwell_Time","x2_right_hand_speed_maxima",-0.0285929351070831,0.904751083707333,0.000817555938037866,20,""
"VGR","transition_probability","LH_initial_direction_angle_rad",-0.0271084644774276,0.909676268681369,0.000734868846323955,20,""
"APM","Occurrence","LH_variability_y_m",-0.0270982483608118,0.909710174966331,0.000734315064224238,20,""
"BOB","Occurrence","x1_right_hand_speed_maxima",-0.0263852261487807,0.912076993596193,0.000696180158922302,20,""
"OH","transition_probability","miss_bias",0.0225988844833169,0.924656930552179,0.0005107095798903,20,""
"OH","transition_probability","hand_transition",0.0218373741623722,0.927189186744703,0.000476870910307443,20,""
